,State,Commodity,Time,Total Value ($US),Abbrevation
0,Alabama,360410 Fireworks,2016,29602090,AL
1,Alabama,360410 Fireworks,2017,19396430,AL
2,Alabama,360410 Fireworks,2018,26399895,AL
3,Alabama,360410 Fireworks,2019,28353392,AL
4,Alabama,360410 Fireworks,2020,23141950,AL
5,Alabama,360410 Fireworks,2021 through April,12182078,AL
6,Alaska,360410 Fireworks,2016,109001,AK
7,Alaska,360410 Fireworks,2017,226399,AK
8,Alaska,360410 Fireworks,2018,231243,AK
9,Arizona,360410 Fireworks,2016,718000,AZ
10,Arizona,360410 Fireworks,2017,1034060,AZ
11,Arizona,360410 Fireworks,2018,1294404,AZ
12,Arizona,360410 Fireworks,2019,1042197,AZ
13,Arizona,360410 Fireworks,2020,1415936,AZ
14,Arizona,360410 Fireworks,2021 through April,751640,AZ
15,Arkansas,360410 Fireworks,2016,5808578,AR
16,Arkansas,360410 Fireworks,2017,2628217,AR
17,Arkansas,360410 Fireworks,2018,3956657,AR
18,Arkansas,360410 Fireworks,2019,3007191,AR
19,Arkansas,360410 Fireworks,2020,3800572,AR
20,Arkansas,360410 Fireworks,2021 through April,2100336,AR
21,California,360410 Fireworks,2016,14067642,CA
22,California,360410 Fireworks,2017,13000442,CA
23,California,360410 Fireworks,2018,18402996,CA
24,California,360410 Fireworks,2019,17732810,CA
25,California,360410 Fireworks,2020,14968906,CA
26,California,360410 Fireworks,2021 through April,5893441,CA
27,Colorado,360410 Fireworks,2016,765963,CO
28,Colorado,360410 Fireworks,2017,879850,CO
29,Colorado,360410 Fireworks,2018,789824,CO
30,Colorado,360410 Fireworks,2019,650888,CO
31,Colorado,360410 Fireworks,2020,825313,CO
32,Colorado,360410 Fireworks,2021 through April,388155,CO
33,Connecticut,360410 Fireworks,2016,328714,CT
34,Connecticut,360410 Fireworks,2017,432540,CT
35,Connecticut,360410 Fireworks,2018,337954,CT
36,Connecticut,360410 Fireworks,2019,509653,CT
37,Connecticut,360410 Fireworks,2020,459680,CT
38,Connecticut,360410 Fireworks,2021 through April,229605,CT
39,Florida,360410 Fireworks,2016,16666207,FL
40,Florida,360410 Fireworks,2017,18065772,FL
41,Florida,360410 Fireworks,2018,15931113,FL
42,Florida,360410 Fireworks,2019,16711138,FL
43,Florida,360410 Fireworks,2020,12022629,FL
44,Florida,360410 Fireworks,2021 through April,4461091,FL
45,Georgia,360410 Fireworks,2016,436063,GA
46,Georgia,360410 Fireworks,2017,138007,GA
47,Georgia,360410 Fireworks,2018,426309,GA
48,Georgia,360410 Fireworks,2019,421266,GA
49,Georgia,360410 Fireworks,2020,764976,GA
50,Georgia,360410 Fireworks,2021 through April,631432,GA
51,Hawaii,360410 Fireworks,2016,807483,HI
52,Hawaii,360410 Fireworks,2017,672925,HI
53,Hawaii,360410 Fireworks,2018,568458,HI
54,Hawaii,360410 Fireworks,2019,655480,HI
55,Hawaii,360410 Fireworks,2020,554955,HI
56,Idaho,360410 Fireworks,2016,589311,ID
57,Idaho,360410 Fireworks,2017,585801,ID
58,Idaho,360410 Fireworks,2018,477691,ID
59,Idaho,360410 Fireworks,2019,759796,ID
60,Idaho,360410 Fireworks,2020,812962,ID
61,Idaho,360410 Fireworks,2021 through April,352596,ID
62,Illinois,360410 Fireworks,2016,2461423,IL
63,Illinois,360410 Fireworks,2017,1530614,IL
64,Illinois,360410 Fireworks,2018,1390698,IL
65,Illinois,360410 Fireworks,2019,3097163,IL
66,Illinois,360410 Fireworks,2020,2746868,IL
67,Illinois,360410 Fireworks,2021 through April,1829695,IL
68,Indiana,360410 Fireworks,2016,16652693,IN
69,Indiana,360410 Fireworks,2017,16374560,IN
70,Indiana,360410 Fireworks,2018,18239800,IN
71,Indiana,360410 Fireworks,2019,14470363,IN
72,Indiana,360410 Fireworks,2020,14005011,IN
73,Indiana,360410 Fireworks,2021 through April,6649006,IN
74,Iowa,360410 Fireworks,2016,1742428,IA
75,Iowa,360410 Fireworks,2017,1303879,IA
76,Iowa,360410 Fireworks,2018,2609111,IA
77,Iowa,360410 Fireworks,2019,2198849,IA
78,Iowa,360410 Fireworks,2020,1119641,IA
79,Iowa,360410 Fireworks,2021 through April,108650,IA
80,Kansas,360410 Fireworks,2016,12911925,KS
81,Kansas,360410 Fireworks,2017,12247314,KS
82,Kansas,360410 Fireworks,2018,18610498,KS
83,Kansas,360410 Fireworks,2019,16099349,KS
84,Kansas,360410 Fireworks,2020,14684427,KS
85,Kansas,360410 Fireworks,2021 through April,8413999,KS
86,Kentucky,360410 Fireworks,2016,2596400,KY
87,Kentucky,360410 Fireworks,2017,2405186,KY
88,Kentucky,360410 Fireworks,2018,2438346,KY
89,Kentucky,360410 Fireworks,2019,827564,KY
90,Kentucky,360410 Fireworks,2020,1254978,KY
91,Kentucky,360410 Fireworks,2021 through April,544586,KY
92,Louisiana,360410 Fireworks,2016,1702419,LA
93,Louisiana,360410 Fireworks,2017,1082455,LA
94,Louisiana,360410 Fireworks,2018,1066447,LA
95,Louisiana,360410 Fireworks,2019,1290998,LA
96,Louisiana,360410 Fireworks,2020,2095682,LA
97,Louisiana,360410 Fireworks,2021 through April,901738,LA
98,Maine,360410 Fireworks,2016,539235,ME
99,Maine,360410 Fireworks,2017,809437,ME
100,Maine,360410 Fireworks,2018,638882,ME
101,Maine,360410 Fireworks,2019,673825,ME
102,Maine,360410 Fireworks,2020,359297,ME
103,Maine,360410 Fireworks,2021 through April,131687,ME
104,Maryland,360410 Fireworks,2016,1229453,MD
105,Maryland,360410 Fireworks,2017,1256016,MD
106,Maryland,360410 Fireworks,2018,903650,MD
107,Maryland,360410 Fireworks,2019,1957307,MD
108,Maryland,360410 Fireworks,2020,598454,MD
109,Maryland,360410 Fireworks,2021 through April,719134,MD
110,Massachusetts,360410 Fireworks,2016,80129,MA
111,Massachusetts,360410 Fireworks,2017,80953,MA
112,Massachusetts,360410 Fireworks,2018,185087,MA
113,Massachusetts,360410 Fireworks,2019,164121,MA
114,Massachusetts,360410 Fireworks,2020,534024,MA
115,Michigan,360410 Fireworks,2016,8833036,MI
116,Michigan,360410 Fireworks,2017,7236063,MI
117,Michigan,360410 Fireworks,2018,7491151,MI
118,Michigan,360410 Fireworks,2019,7810634,MI
119,Michigan,360410 Fireworks,2020,7619099,MI
120,Michigan,360410 Fireworks,2021 through April,3287095,MI
121,Minnesota,360410 Fireworks,2016,419674,MN
122,Minnesota,360410 Fireworks,2017,484924,MN
123,Minnesota,360410 Fireworks,2018,872548,MN
124,Minnesota,360410 Fireworks,2019,642277,MN
125,Minnesota,360410 Fireworks,2020,961300,MN
126,Minnesota,360410 Fireworks,2021 through April,29313,MN
127,Mississippi,360410 Fireworks,2016,2910675,MS
128,Mississippi,360410 Fireworks,2017,2069296,MS
129,Mississippi,360410 Fireworks,2018,2225561,MS
130,Mississippi,360410 Fireworks,2019,2258550,MS
131,Mississippi,360410 Fireworks,2020,2969119,MS
132,Mississippi,360410 Fireworks,2021 through April,555513,MS
133,Missouri,360410 Fireworks,2016,42662332,MO
134,Missouri,360410 Fireworks,2017,42274580,MO
135,Missouri,360410 Fireworks,2018,53918481,MO
136,Missouri,360410 Fireworks,2019,51088748,MO
137,Missouri,360410 Fireworks,2020,51835944,MO
138,Missouri,360410 Fireworks,2021 through April,26746992,MO
139,Montana,360410 Fireworks,2016,1572964,MT
140,Montana,360410 Fireworks,2017,1636271,MT
141,Montana,360410 Fireworks,2018,2452552,MT
142,Montana,360410 Fireworks,2019,2826581,MT
143,Montana,360410 Fireworks,2020,2380566,MT
144,Montana,360410 Fireworks,2021 through April,956437,MT
145,Nebraska,360410 Fireworks,2016,18873198,NE
146,Nebraska,360410 Fireworks,2017,11182825,NE
147,Nebraska,360410 Fireworks,2018,7824307,NE
148,Nebraska,360410 Fireworks,2019,6648462,NE
149,Nebraska,360410 Fireworks,2020,6831504,NE
150,Nebraska,360410 Fireworks,2021 through April,3375957,NE
151,Nevada,360410 Fireworks,2016,6051183,NV
152,Nevada,360410 Fireworks,2017,7548350,NV
153,Nevada,360410 Fireworks,2018,8921663,NV
154,Nevada,360410 Fireworks,2019,7366040,NV
155,Nevada,360410 Fireworks,2020,5768449,NV
156,Nevada,360410 Fireworks,2021 through April,5773151,NV
157,New Hampshire,360410 Fireworks,2016,2228863,NH
158,New Hampshire,360410 Fireworks,2017,2097088,NH
159,New Hampshire,360410 Fireworks,2018,1978039,NH
160,New Hampshire,360410 Fireworks,2019,698641,NH
161,New Hampshire,360410 Fireworks,2020,738995,NH
162,New Hampshire,360410 Fireworks,2021 through April,362949,NH
163,New Jersey,360410 Fireworks,2016,1001430,NJ
164,New Jersey,360410 Fireworks,2017,1248003,NJ
165,New Jersey,360410 Fireworks,2018,3498669,NJ
166,New Jersey,360410 Fireworks,2019,1981527,NJ
167,New Jersey,360410 Fireworks,2020,2612250,NJ
168,New Jersey,360410 Fireworks,2021 through April,280648,NJ
169,New Mexico,360410 Fireworks,2016,211141,NM
170,New Mexico,360410 Fireworks,2017,223390,NM
171,New Mexico,360410 Fireworks,2018,193637,NM
172,New Mexico,360410 Fireworks,2019,104134,NM
173,New Mexico,360410 Fireworks,2020,236735,NM
174,New Mexico,360410 Fireworks,2021 through April,131655,NM
175,New York,360410 Fireworks,2016,3138765,NY
176,New York,360410 Fireworks,2017,2841791,NY
177,New York,360410 Fireworks,2018,3103837,NY
178,New York,360410 Fireworks,2019,2251057,NY
